Listing ID,Listing name,Final URL,Image URL,City name,Description,Price,Property type,Listing type,Contextual keywords,Address,Tracking template,Custom parameter,Final mobile URL,Android app link,iOS app link,iOS app store ID,Formatted price
39121,"Salão Comercial com casa para alugar, 90m² - Jardim Bela Vista - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-bela-vista/39121,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39121/5389fd7f2d304a93a91c01af0ee6465eAT.jpg,RIBEIRÃO PRETO,Comercial - 1 quartos - Jardim Bela Vista - 90m² - Ribeirão Preto,2500 BRL,commercial,rent,comercial;locação;1 quartos;jardim bela vista;ribeirão preto,"JARDIM BELA VISTA, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 2.500/mês
39120,"Apartamento com 4 suítes para alugar, 298m² - Jardim Olhos D'Água - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/apartamentos/ribeirao-preto/jardim-olhos-d-agua/39120,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39120/48ffa3d1dcf7a5783b23cd02a0f9bd23AT.jpg,RIBEIRÃO PRETO,Apartamento - 4 quartos - Jardim Olhos D'Água - 298m² - Ribeirão Preto,16000 BRL,apartment,rent,apartamento;locação;4 quartos;jardim olhos d'água;ribeirão preto,"Jardim Olhos D'água, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 16.000/mês
39124,"Casa residencial com 3 quartos para alugar, 318m² - Ribeirânia - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/casas/ribeirao-preto/ribeirania/39124,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39124/ccb55f5a4879eebd69e508f2498d360cAT.jpg,RIBEIRÃO PRETO,Casa - 3 quartos - Ribeirânia - 318m² - Ribeirão Preto,13000 BRL,house,rent,casa;locação;3 quartos;ribeirânia;ribeirão preto,"RIBEIRÂNIA, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 13.000/mês
39142,"Sala Comercial para alugar, 57m² - Centro - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-seixas/39142,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39142/2ff628243f770bdff1ab0365eccbe54bAT.jpg,RIBEIRÃO PRETO,Comercial - Vila Seixas - 57m² - Ribeirão Preto,1800 BRL,commercial,rent,comercial;locação;vila seixas;ribeirão preto,"VILA SEIXAS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.800/mês
39146,"Chácara com 5 quartos para alugar, 477m² - Estância Beira Rio - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/casas/jardinopolis/estancia-beira-rio/39146,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39146/dbd35d7064bcbf3c319e854f8dc0713cAT.jpg,JARDINÓPOLIS,Casa - 5 quartos - Estancia Beira Rio - 477m² - Jardinópolis,5000 BRL,house,rent,casa;locação;5 quartos;estancia beira rio;jardinópolis,"ESTANCIA BEIRA RIO, JARDINÓPOLIS, São Paulo",,,,,,,R$ 5.000/mês
39141,"Sala Comercial para alugar, 47m² - Centro - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-seixas/39141,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39141/82efce7ef4bc816b65f02576c41cdc05AT.jpg,RIBEIRÃO PRETO,Comercial - Vila Seixas - 47m² - Ribeirão Preto,1800 BRL,commercial,rent,comercial;locação;vila seixas;ribeirão preto,"VILA SEIXAS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.800/mês
39150,"Galpões comerciais para alugar, 3662m² - Campos Elíseos - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/campos-eliseos/39150,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39150/f0b89778c5fb572d0f53e705b457c7d7AT.jpg,RIBEIRÃO PRETO,Comercial - Campos Elíseos - 3662m² - Ribeirão Preto,26000 BRL,commercial,rent,comercial;locação;campos elíseos;ribeirão preto,"CAMPOS ELÍSEOS, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 26.000/mês
39125,"Salão Comercial para alugar, 30m² - Jardim Castelo Branco - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-castelo-branco/39125,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39125/5c8d52c383cfbb59a9a43d970ce8907fAT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Castelo Branco - 30m² - Ribeirão Preto,1400 BRL,commercial,rent,comercial;locação;jardim castelo branco;ribeirão preto,"JARDIM CASTELO BRANCO, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.400/mês
39171,"Sala Comercial para alugar, 25m² - Vila Seixas - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-sumare/39171,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39171/35c4748d7585fc4eaf7a2438b8f1143aAT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Sumaré - 25m² - Ribeirão Preto,550 BRL,commercial,rent,comercial;locação;jardim sumaré;ribeirão preto,"JARDIM SUMARÉ, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 550/mês
39200,"Salão Comercial para alugar, 500m² - Jardim Sumaré - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/jardim-sumare/39200,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39200/028091059ed64a1ef043ed80acd60250AT.jpg,RIBEIRÃO PRETO,Comercial - Jardim Sumaré - 500m² - Ribeirão Preto,16000 BRL,commercial,rent,comercial;locação;jardim sumaré;ribeirão preto,"JARDIM SUMARÉ, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 16.000/mês
39210,"Casa residencial com 3 quartos para alugar, 66m² - Vila Elisa - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/casas/ribeirao-preto/vila-elisa/39210,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39210/d4a463e42eccad8f60ee2da0f61b4078AT.jpg,RIBEIRÃO PRETO,Casa - 3 quartos - Vila Elisa - 66m² - Ribeirão Preto,1850 BRL,house,rent,casa;locação;3 quartos;vila elisa;ribeirão preto,"VILA ELISA, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.850/mês
39213,"Salão Comercial para alugar, 110m² - Ipiranga - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/ipiranga/39213,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39213/88d96656b98d89e8cd33e79e55b43d12AT.jpg,RIBEIRÃO PRETO,Comercial - Ipiranga - 110m² - Ribeirão Preto,3000 BRL,commercial,rent,comercial;locação;ipiranga;ribeirão preto,"Ipiranga, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 3.000/mês
39227,"Galpão Comercial para alugar, 418m² - Ipiranga - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/ipiranga/39227,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39227/500e59e2b9cfad66ee01bc52bf679bbbAT.jpg,RIBEIRÃO PRETO,Comercial - Ipiranga - 418m² - Ribeirão Preto,9000 BRL,commercial,rent,comercial;locação;ipiranga;ribeirão preto,"Ipiranga, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 9.000/mês
39226,"Salão comercial para alugar, 30m² - Vila Tibério - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-tiberio/39226,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39226/cea4568b78e16477d3a0a1ee37537302AT.jpg,RIBEIRÃO PRETO,Comercial - Vila Tibério - 30m² - Ribeirão Preto,2200 BRL,commercial,rent,comercial;locação;vila tibério;ribeirão preto,"VILA TIBÉRIO, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 2.200/mês
39230,"Salão comercial para alugar, 230m² - Vila Tibério - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-tiberio/39230,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39230/1c503d2d09e661bb90c5d08a0a800748AT.jpg,RIBEIRÃO PRETO,Comercial - Vila Tibério - 230m² - Ribeirão Preto,3000 BRL,commercial,rent,comercial;locação;vila tibério;ribeirão preto,"VILA TIBÉRIO, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 3.000/mês
39231,"Sala Comercial para alugar, 16m² - Vila Tibério - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-tiberio/39231,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39231/88f8456cded4fa60b3449bc4e53922b3AT.jpg,RIBEIRÃO PRETO,Comercial - Vila Tibério - 16m² - Ribeirão Preto,600 BRL,commercial,rent,comercial;locação;vila tibério;ribeirão preto,"VILA TIBÉRIO, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 600/mês
39236,"Sala Comercial para alugar, 40m² - Vila Tibério - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-monte-alegre/39236,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39236/3a71d10dbda9855801c9bacbc2b8149aAT.jpg,RIBEIRÃO PRETO,Comercial - Vila Monte Alegre - 40m² - Ribeirão Preto,1000 BRL,commercial,rent,comercial;locação;vila monte alegre;ribeirão preto,"VILA MONTE ALEGRE, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 1.000/mês
39237,"Sala Comercial para alugar, 35m² - Vila Tibério - Galeria Imobiliária",https://galeriaimobiliaria.com.br/imovel/locacao/comercial/ribeirao-preto/vila-monte-alegre/39237,https://s3.amazonaws.com/msys-imob-galeriaimobiliaria/imovel/fotos/39237/0150eeeca1ba31324644f65fc1c4ddb0AT.jpg,RIBEIRÃO PRETO,Comercial - Vila Monte Alegre - 35m² - Ribeirão Preto,800 BRL,commercial,rent,comercial;locação;vila monte alegre;ribeirão preto,"VILA MONTE ALEGRE, RIBEIRÃO PRETO, São Paulo",,,,,,,R$ 800/mês
